MOST_POPULOUS_COUNTRIES_0001,India,#1 · 1.45 billion
MOST_POPULOUS_COUNTRIES_0002,#1,India · 1.45 billion
MOST_POPULOUS_COUNTRIES_0003,China,#2 · 1.42 billion
MOST_POPULOUS_COUNTRIES_0004,#2,China · 1.42 billion
MOST_POPULOUS_COUNTRIES_0005,United States,#3 · 345 million
MOST_POPULOUS_COUNTRIES_0006,#3,United States · 345 million
MOST_POPULOUS_COUNTRIES_0007,Indonesia,#4 · 283 million
MOST_POPULOUS_COUNTRIES_0008,#4,Indonesia · 283 million
MOST_POPULOUS_COUNTRIES_0009,Pakistan,#5 · 251 million
MOST_POPULOUS_COUNTRIES_0010,#5,Pakistan · 251 million
MOST_POPULOUS_COUNTRIES_0011,Nigeria,#6 · 233 million
MOST_POPULOUS_COUNTRIES_0012,#6,Nigeria · 233 million
MOST_POPULOUS_COUNTRIES_0013,Brazil,#7 · 212 million
MOST_POPULOUS_COUNTRIES_0014,#7,Brazil · 212 million
MOST_POPULOUS_COUNTRIES_0015,Bangladesh,#8 · 174 million
MOST_POPULOUS_COUNTRIES_0016,#8,Bangladesh · 174 million
MOST_POPULOUS_COUNTRIES_0017,Russia,#9 · 145 million
MOST_POPULOUS_COUNTRIES_0018,#9,Russia · 145 million
MOST_POPULOUS_COUNTRIES_0019,Ethiopia,#10 · 132 million
MOST_POPULOUS_COUNTRIES_0020,#10,Ethiopia · 132 million
MOST_POPULOUS_COUNTRIES_0021,Mexico,#11 · 131 million
MOST_POPULOUS_COUNTRIES_0022,#11,Mexico · 131 million
MOST_POPULOUS_COUNTRIES_0023,Japan,#12 · 124 million
MOST_POPULOUS_COUNTRIES_0024,#12,Japan · 124 million
MOST_POPULOUS_COUNTRIES_0025,Egypt,#13 · 117 million
MOST_POPULOUS_COUNTRIES_0026,#13,Egypt · 117 million
MOST_POPULOUS_COUNTRIES_0027,Philippines,#14 · 116 million
MOST_POPULOUS_COUNTRIES_0028,#14,Philippines · 116 million
MOST_POPULOUS_COUNTRIES_0029,Democratic Republic of the Congo,#15 · 109 million
MOST_POPULOUS_COUNTRIES_0030,#15,Democratic Republic of the Congo · 109 million
MOST_POPULOUS_COUNTRIES_0031,Vietnam,#16 · 101 million
MOST_POPULOUS_COUNTRIES_0032,#16,Vietnam · 101 million
MOST_POPULOUS_COUNTRIES_0033,Iran,#17 · 92 million
MOST_POPULOUS_COUNTRIES_0034,#17,Iran · 92 million
MOST_POPULOUS_COUNTRIES_0035,Turkey,#18 · 87 million
MOST_POPULOUS_COUNTRIES_0036,#18,Turkey · 87 million
MOST_POPULOUS_COUNTRIES_0037,Germany,#19 · 85 million
MOST_POPULOUS_COUNTRIES_0038,#19,Germany · 85 million
MOST_POPULOUS_COUNTRIES_0039,Thailand,#20 · 72 million
MOST_POPULOUS_COUNTRIES_0040,#20,Thailand · 72 million
