MYTHOLOGY_0001,"Goddess of beauty, love, desire, pleasure (Olympian)
Greek/Roman","Greek: Aphrodite
Roman: Venus"
MYTHOLOGY_0002,"God of music, art, knowledge, poetry, archery (Olympian)
Greek/Roman","Greek: Apollo
Roman: Apollo"
MYTHOLOGY_0003,"God of courage, war, bloodshed, violence (Olympian)
Greek/Roman","Greek: Ares
Roman: Mars"
MYTHOLOGY_0004,"Virgin goddess of the hunt, wilderness, animals, moon (Olympian)
Greek/Roman","Greek: Artemis
Roman: Diana"
MYTHOLOGY_0005,"Goddess of reason, wisdom, intelligence, peace, warfare (Olympian)
Greek/Roman","Greek: Athena
Roman: Minerva"
MYTHOLOGY_0006,"Goddess of grain, agriculture, harvest, growth (Olympian)
Greek/Roman","Greek: Demeter
Roman: Ceres"
MYTHOLOGY_0007,"God of wine, parties, madness, drunkenness, ecstacy (Olympian)
Greek/Roman","Greek: Dionysus
Roman: Bacchus"
MYTHOLOGY_0008,"King of the underworld/dead, god of wealth
Greek/Roman","Greek: Hades
Roman: Pluto"
MYTHOLOGY_0009,"God of fire, metalworking, crafts (Olympian)
Greek/Roman","Greek: Hephaestus
Roman: Vulcan"
MYTHOLOGY_0010,"Queen of the gods, goddess of women, marriage, childbirth, kings (Olympian)
Greek/Roman","Greek: Hera
Roman: Juno"
MYTHOLOGY_0011,"Messenger god of travel, communication, writing, thieves (Olympian)
Greek/Roman","Greek: Hermes
Roman: Mercury"
MYTHOLOGY_0012,"Virgin goddess of hearth, home, domesticity, chastity
Greek/Roman","Greek: Hestia
Roman: Vesta"
MYTHOLOGY_0013,"Queen of the Underworld, goddess of spring
Greek/Roman","Greek: Persephone
Roman: Prosperina"
MYTHOLOGY_0014,"God of sea, rivers, floods, droughts, earthquakes (Olympian)
Greek/Roman","Greek: Poseidon
Roman: Neptune"
MYTHOLOGY_0015,"King of the gods, god of sky, thunder, lightning, justice (Olympian)
Greek/Roman","Greek: Zeus
Roman: Jupiter"
MYTHOLOGY_0016,"Allfather, king of the gods, god of wisdom, war, death, and magic, sacrificed eye for knowledge
Norse",Odin
MYTHOLOGY_0017,"God of thunder, storms, and strength, protects gods and humans from giants, Odin's son
Norse",Thor
MYTHOLOGY_0018,"Thor's hammer 
Norse",Mjolnir
MYTHOLOGY_0019,"Eight-legged horse of Odin
Norse",Sleipnir
MYTHOLOGY_0020,"Trickster god, father of Fenrir (wolf)
Norse",Loki
MYTHOLOGY_0021,"Goddess of love, beauty, fertility, war, death, sister of Freyr
Norse",Freyja
MYTHOLOGY_0022,"God of fertility, prosperity, peace, pleasure, brother of Freyja
Norse",Freyr
MYTHOLOGY_0023,"God of war and justice, sacrificed hand to Fenrir (wolf)
Norse",Tyr
MYTHOLOGY_0024,"God of light and purity, Odin's son, death triggers Ragnarok (end of the world)
Norse",Baldur
MYTHOLOGY_0025,"Watchman of the gods, guards Bifrost (rainbow bridge), sounds horn at Ragnarok
Norse",Heimdall
MYTHOLOGY_0026,"Sun god, king of gods. Travels across sky in solar barque. Often depicted with falcon head and sun disk. Creator deity.
Egyptian",Ra (Re)
MYTHOLOGY_0027,"God of death, afterlife, resurrection, agriculture. Murdered by brother Set, resurrected by Isis. Judge of the dead. Green-skinned, mummified
Egyptian ",Osiris
MYTHOLOGY_0028,"Goddess of magic, motherhood, healing, protection. Wife of Osiris, mother of Horus. Known for powerful magic and devotion.
Egyptian ",Isis
MYTHOLOGY_0029,"God of sky, kingship, protection. Falcon-headed. Son of Osiris and Isis. Avenged father's death against Set. Associated with pharaohs.
Egyptian ",Horus
MYTHOLOGY_0030,"God of chaos, storms, desert, violence, foreigners. Murdered Osiris. Battles Horus. Red-haired, animal-headed (unidentified creature).
Egyptian ",Set (Seth)
MYTHOLOGY_0031,"God of mummification, death, afterlife. Jackal-headed. Guides souls to judgment. Protects graves and embalming process.
Egyptian ",Anubis
MYTHOLOGY_0032,"God of wisdom, writing, knowledge, moon, magic. Ibis or baboon-headed. Scribe of gods. Inventor of hieroglyphs.
Egyptian ",Thoth
MYTHOLOGY_0033,"Goddess of home, fertility, cats, protection, joy. Cat-headed or depicted as a cat. Protector deity, daughter of Ra.
Egyptian",Bastet
MYTHOLOGY_0034,"Goddess of love, beauty, music, motherhood, joy. Cow-headed or woman with cow horns. Sky goddess, associated with fertility.
Egyptian ","Hathor "
