SNL_HOST_FIVE_TIMERS_0001,"SNL Five-Timers Club
SNL Hosting: 10 Times
1976-1980",Buck Henry
SNL_HOST_FIVE_TIMERS_0002,"SNL Five-Timers Club
Buck Henry","SNL Hosting: 10 Times
1976-1980"
SNL_HOST_FIVE_TIMERS_0003,"SNL Five-Timers Club
SNL Hosting: 17 Times
1990-2017",Alec Baldwin
SNL_HOST_FIVE_TIMERS_0004,"SNL Five-Timers Club
Alec Baldwin","SNL Hosting: 17 Times
1990-2017"
SNL_HOST_FIVE_TIMERS_0005,"SNL Five-Timers Club
SNL Hosting: 5 Times
2018-2022",John Mulaney
SNL_HOST_FIVE_TIMERS_0006,"SNL Five-Timers Club
John Mulaney","SNL Hosting: 5 Times
2018-2022"
SNL_HOST_FIVE_TIMERS_0007,"SNL Five-Timers Club
SNL Hosting: 5 Times
1989-2023",Woody Harrelson
SNL_HOST_FIVE_TIMERS_0008,"SNL Five-Timers Club
Woody Harrelson","SNL Hosting: 5 Times
1989-2023"
SNL_HOST_FIVE_TIMERS_0009,"SNL Five-Timers Club
SNL Hosting: 6 Times
2008-2018",Tina Fey
SNL_HOST_FIVE_TIMERS_0010,"SNL Five-Timers Club
Tina Fey","SNL Hosting: 6 Times
2008-2018"
SNL_HOST_FIVE_TIMERS_0011,"SNL Five-Timers Club
SNL Hosting: 5 Times
2000-2017",Dwayne Johnson
SNL_HOST_FIVE_TIMERS_0012,"SNL Five-Timers Club
Dwayne Johnson","SNL Hosting: 5 Times
2000-2017"
SNL_HOST_FIVE_TIMERS_0013,"SNL Five-Timers Club
SNL Hosting: 5 Times
2008-2018",Jonah Hill
SNL_HOST_FIVE_TIMERS_0014,"SNL Five-Timers Club
Jonah Hill","SNL Hosting: 5 Times
2008-2018"
SNL_HOST_FIVE_TIMERS_0015,"SNL Five-Timers Club
SNL Hosting: 10 Times
1985-2020",Tom Hanks
SNL_HOST_FIVE_TIMERS_0016,"SNL Five-Timers Club
Tom Hanks","SNL Hosting: 10 Times
1985-2020"
SNL_HOST_FIVE_TIMERS_0017,"SNL Five-Timers Club
SNL Hosting: 13 Times
1989-2013",John Goodman
SNL_HOST_FIVE_TIMERS_0018,"SNL Five-Timers Club
John Goodman","SNL Hosting: 13 Times
1989-2013"
SNL_HOST_FIVE_TIMERS_0019,"SNL Five-Timers Club
SNL Hosting: 5 Times
2000-2013",Ben Affleck
SNL_HOST_FIVE_TIMERS_0020,"SNL Five-Timers Club
Ben Affleck","SNL Hosting: 5 Times
2000-2013"
SNL_HOST_FIVE_TIMERS_0021,"SNL Five-Timers Club
SNL Hosting: 8 Times
1978-1997",Chevy Chase
SNL_HOST_FIVE_TIMERS_0022,"SNL Five-Timers Club
Chevy Chase","SNL Hosting: 8 Times
1978-1997"
SNL_HOST_FIVE_TIMERS_0023,"SNL Five-Timers Club
SNL Hosting: 16 Times
1976-2022",Steve Martin
SNL_HOST_FIVE_TIMERS_0024,"SNL Five-Timers Club
Steve Martin","SNL Hosting: 16 Times
1976-2022"
SNL_HOST_FIVE_TIMERS_0025,"SNL Five-Timers Club
SNL Hosting: 4 Times
1975-1987",Paul Simon
SNL_HOST_FIVE_TIMERS_0026,"SNL Five-Timers Club
Paul Simon","SNL Hosting: 4 Times
1975-1987"
SNL_HOST_FIVE_TIMERS_0027,"SNL Five-Timers Club
SNL Hosting: 6 Times
1982-1999",Danny DeVito
SNL_HOST_FIVE_TIMERS_0028,"SNL Five-Timers Club
Danny DeVito","SNL Hosting: 6 Times
1982-1999"
SNL_HOST_FIVE_TIMERS_0029,"SNL Five-Timers Club
SNL Hosting: 5 Times
1981-1999",Bill Murray
SNL_HOST_FIVE_TIMERS_0030,"SNL Five-Timers Club
Bill Murray","SNL Hosting: 5 Times
1981-1999"
SNL_HOST_FIVE_TIMERS_0031,"SNL Five-Timers Club
SNL Hosting: 6 Times
2006-2018",Scarlett Johansson
SNL_HOST_FIVE_TIMERS_0032,"SNL Five-Timers Club
Scarlett Johansson","SNL Hosting: 6 Times
2006-2018"
SNL_HOST_FIVE_TIMERS_0033,"SNL Five-Timers Club
SNL Hosting: 5 Times
2010-2023",Emma Stone
SNL_HOST_FIVE_TIMERS_0034,"SNL Five-Timers Club
Emma Stone","SNL Hosting: 5 Times
2010-2023"
SNL_HOST_FIVE_TIMERS_0035,"SNL Five-Timers Club
SNL Hosting: 5 Times
2013-2024",Kristen Wiig
SNL_HOST_FIVE_TIMERS_0036,"SNL Five-Timers Club
Kristen Wiig","SNL Hosting: 5 Times
2013-2024"
SNL_HOST_FIVE_TIMERS_0037,"SNL Five-Timers Club
SNL Hosting: 7 Times
1990-2008",Christopher Walken
SNL_HOST_FIVE_TIMERS_0038,"SNL Five-Timers Club
Christopher Walken","SNL Hosting: 7 Times
1990-2008"
SNL_HOST_FIVE_TIMERS_0039,"SNL Five-Timers Club
SNL Hosting: 6 Times
1982-2009",Drew Barrymore
SNL_HOST_FIVE_TIMERS_0040,"SNL Five-Timers Club
Drew Barrymore","SNL Hosting: 6 Times
1982-2009"
SNL_HOST_FIVE_TIMERS_0041,"SNL Five-Timers Club
SNL Hosting: 5 Times
2011-2017",Melissa McCarthy
SNL_HOST_FIVE_TIMERS_0042,"SNL Five-Timers Club
Melissa McCarthy","SNL Hosting: 5 Times
2011-2017"
SNL_HOST_FIVE_TIMERS_0043,"SNL Five-Timers Club
SNL Hosting: 5 Times
2008-2021",Paul Rudd
SNL_HOST_FIVE_TIMERS_0044,"SNL Five-Timers Club
Paul Rudd","SNL Hosting: 5 Times
2008-2021"
SNL_HOST_FIVE_TIMERS_0045,"SNL Five-Timers Club
SNL Hosting: 6 Times
1976-1980",Elliot Gould
SNL_HOST_FIVE_TIMERS_0046,"SNL Five-Timers Club
Elliot Gould","SNL Hosting: 6 Times
1976-1980"
SNL_HOST_FIVE_TIMERS_0047,"SNL Five-Timers Club
SNL Hosting: 5 Times
1975-1990",Candice Bergen
SNL_HOST_FIVE_TIMERS_0048,"SNL Five-Timers Club
Candice Bergen","SNL Hosting: 5 Times
1975-1990"
SNL_HOST_FIVE_TIMERS_0049,"SNL Five-Timers Club
SNL Hosting: 5 Times
2003-2013",Justin Timberlake
SNL_HOST_FIVE_TIMERS_0050,"SNL Five-Timers Club
Justin Timberlake","SNL Hosting: 5 Times
2003-2013"
SNL_HOST_FIVE_TIMERS_0051,"SNL Five-Timers Club
SNL Hosting: 5 Times
2005-2019",Will Ferrell
SNL_HOST_FIVE_TIMERS_0052,"SNL Five-Timers Club
Will Ferrell","SNL Hosting: 5 Times
2005-2019"
SNL_HOST_FIVE_TIMERS_0053,"SNL Five-Timers Club
SNL Hosting: 5 Times
1986-2024",Martin Short
SNL_HOST_FIVE_TIMERS_0054,"SNL Five-Timers Club
Martin Short","SNL Hosting: 5 Times
1986-2024"
