US_MOST_POPULOUS_CITIES__2024__0001,"New York City, NY",#1 · 8.5 million
US_MOST_POPULOUS_CITIES__2024__0002,Most Populous US City: #1,"New York City, NY · 8.5 million"
US_MOST_POPULOUS_CITIES__2024__0003,"Los Angeles, CA",#2 · 3.9 million
US_MOST_POPULOUS_CITIES__2024__0004,Most Populous US City: #2,"Los Angeles, CA · 3.9 million"
US_MOST_POPULOUS_CITIES__2024__0005,"Chicago, IL",#3 · 2.7 million
US_MOST_POPULOUS_CITIES__2024__0006,Most Populous US City: #3,"Chicago, IL · 2.7 million"
US_MOST_POPULOUS_CITIES__2024__0007,"Houston, TX",#4 · 2.4 million
US_MOST_POPULOUS_CITIES__2024__0008,Most Populous US City: #4,"Houston, TX · 2.4 million"
US_MOST_POPULOUS_CITIES__2024__0009,"Phoenix, AZ",#5 · 1.7 million
US_MOST_POPULOUS_CITIES__2024__0010,Most Populous US City: #5,"Phoenix, AZ · 1.7 million"
US_MOST_POPULOUS_CITIES__2024__0011,"Philadelphia, PA",#6 · 1.6 million
US_MOST_POPULOUS_CITIES__2024__0012,Most Populous US City: #6,"Philadelphia, PA · 1.6 million"
US_MOST_POPULOUS_CITIES__2024__0013,"San Antonio, TX",#7 · 1.5 million
US_MOST_POPULOUS_CITIES__2024__0014,Most Populous US City: #7,"San Antonio, TX · 1.5 million"
US_MOST_POPULOUS_CITIES__2024__0015,"San Diego, CA",#8 · 1.4 million
US_MOST_POPULOUS_CITIES__2024__0016,Most Populous US City: #8,"San Diego, CA · 1.4 million"
US_MOST_POPULOUS_CITIES__2024__0017,"Dallas, TX",#9 · 1.3 million
US_MOST_POPULOUS_CITIES__2024__0018,Most Populous US City: #9,"Dallas, TX · 1.3 million"
US_MOST_POPULOUS_CITIES__2024__0019,"Jacksonville, FL",#10 · 1.0 million
US_MOST_POPULOUS_CITIES__2024__0020,Most Populous US City: #10,"Jacksonville, FL · 1.0 million"
US_MOST_POPULOUS_CITIES__2024__0021,"Fort Worth, TX",#11 · 1.0 million
US_MOST_POPULOUS_CITIES__2024__0022,Most Populous US City: #11,"Fort Worth, TX · 1.0 million"
US_MOST_POPULOUS_CITIES__2024__0023,"San Jose, CA",#12 · 1.0 million
US_MOST_POPULOUS_CITIES__2024__0024,Most Populous US City: #12,"San Jose, CA · 1.0 million"
US_MOST_POPULOUS_CITIES__2024__0025,"Austin, TX","#13 · 990,000"
US_MOST_POPULOUS_CITIES__2024__0026,Most Populous US City: #13,"Austin, TX · 990,000"
US_MOST_POPULOUS_CITIES__2024__0027,"Charlotte, NC","#14 · 940,000"
US_MOST_POPULOUS_CITIES__2024__0028,Most Populous US City: #14,"Charlotte, NC · 940,000"
US_MOST_POPULOUS_CITIES__2024__0029,"Columbus, OH","#15 · 930,000"
US_MOST_POPULOUS_CITIES__2024__0030,Most Populous US City: #15,"Columbus, OH · 930,000"
US_MOST_POPULOUS_CITIES__2024__0031,"Indianapolis, IN","#16 · 890,000"
US_MOST_POPULOUS_CITIES__2024__0032,Most Populous US City: #16,"Indianapolis, IN · 890,000"
US_MOST_POPULOUS_CITIES__2024__0033,"San Francisco, CA","#17 · 830,000"
US_MOST_POPULOUS_CITIES__2024__0034,Most Populous US City: #17,"San Francisco, CA · 830,000"
US_MOST_POPULOUS_CITIES__2024__0035,"Seattle, WA","#18 · 780,000"
US_MOST_POPULOUS_CITIES__2024__0036,Most Populous US City: #18,"Seattle, WA · 780,000"
US_MOST_POPULOUS_CITIES__2024__0037,"Denver, CO","#19 · 730,000"
US_MOST_POPULOUS_CITIES__2024__0038,Most Populous US City: #19,"Denver, CO · 730,000"
US_MOST_POPULOUS_CITIES__2024__0039,"Oklahoma City, OK","#20 · 710,000"
US_MOST_POPULOUS_CITIES__2024__0040,Most Populous US City: #20,"Oklahoma City, OK · 710,000"
US_MOST_POPULOUS_CITIES__2024__0041,"Nashville, TN","#21 · 700,000"
US_MOST_POPULOUS_CITIES__2024__0042,Most Populous US City: #21,"Nashville, TN · 700,000"
US_MOST_POPULOUS_CITIES__2024__0043,"Washington, DC","#22 · 700,000"
US_MOST_POPULOUS_CITIES__2024__0044,Most Populous US City: #22,"Washington, DC · 700,000"
